filename|pages|size_kb|mtime|words
1. Plan for the year.pdf|16|11116|2025-12-07|469
10. Solar System.pdf|19|6104|2025-12-07|494
11. Samudra Manthan.pdf|18|7628|2025-12-07|521
12. Planet in Sign & Nakshatra.pdf|15|4772|2025-12-07|421
13. Temples of India.pdf|18|10380|2025-12-07|382
14. Dualities.pdf|8|3556|2025-12-07|175
15. Duality and Modality.pdf|18|12716|2025-12-07|813
16. A Roadmap.pdf|9|1944|2025-12-07|268
17. Case Study 1 - Lemuria and Atlantis.pdf|10|1616|2025-12-07|851
18. Mentors.pdf|6|5356|2025-12-07|125
19. Varaha Avatar.pdf|14|4560|2025-12-07|469
2. Hindu Vedic Scriptures.pdf|20|2056|2025-12-07|452
20. Azimuth and Altitude.pdf|8|1980|2025-12-07|109
21. Mahasaraswathi.pdf|9|7176|2025-12-07|641
22. Your Sky at Birth.pdf|7|2180|2025-12-07|296
23. Narasimha Avatar.pdf|12|5092|2025-12-07|393
24. Celestial Equator.pdf|16|4264|2025-12-07|153
25. Mahalakshmi.pdf|9|8204|2025-12-07|566
26. Dreams.pdf|4|640|2025-12-07|314
27. RA & Declination.pdf|15|4164|2025-12-07|245
28. Sun & Moon.pdf|13|2728|2025-12-07|194
29. Live Lab Session - Stellarium.pdf|13|1456|2025-12-07|0
3. Retreats.pdf|9|7348|2025-12-07|278
30. Case Study 2 - Bar in Heaven.pdf|6|2824|2025-12-07|461
31. Lab Session - Stellarium (Answers).pdf|2|60|2025-12-07|392
32. Vamana Avatar.pdf|12|4596|2025-12-07|387
33. Case Study 2 - Bar in Heaven.pdf|8|1912|2025-12-07|732
34. Signature.pdf|3|440|2025-12-07|129
35. Mahakali.pdf|8|7716|2025-12-07|580
36. Precession of the Equinoxes.pdf|16|1844|2025-12-07|405
38. Parashuram Avatar.pdf|11|5596|2025-12-07|406
39. Maheshwari.pdf|9|10808|2025-12-07|590
4. Earth.pdf|10|3284|2025-12-07|179
40. Joining the Dots.pdf|4|1328|2025-12-07|106
41. Rama Avatar.pdf|28|19616|2025-12-07|529
42. Elements.pdf|10|10532|2025-12-07|292
43. Planetary Cabinet.pdf|6|892|2025-12-07|277
44. Cosmology of Time.pdf|20|5376|2025-12-07|676
45. Planetary Cabinet.pdf|8|1536|2025-12-07|280
46. Planetary Relationships.pdf|18|2344|2025-12-07|1219
47. Apparent Motions.pdf|12|908|2025-12-07|110
48. Case Study - ABV.pdf|4|540|2025-12-07|331
49. Krishna.pdf|20|7976|2026-03-07|447
5. Vyasa.pdf|18|10072|2025-12-07|158
50. Aspects.pdf|25|1168|2026-03-07|1000
51. Thoughts from Learners.pdf|7|10400|2026-03-07|110
52. Astronomy of Houses.pdf|19|3300|2026-03-07|445
53. End of Year + Projects.pdf|9|8568|2026-03-07|392
54. Buddha Avatar.pdf|18|12520|2026-03-07|350
55. All the Avatars.pdf|9|3844|2026-03-07|203
56. My story.pdf|11|17640|2026-03-07|2
57. Intro to Houses.pdf|8|768|2026-02-02|336
58. Case Study - The Lizard Family.pdf|4|2116|2026-02-04|220
59. Kinds of Houses.pdf|15|804|2026-02-09|694
6. How to learn.pdf|5|2056|2025-12-07|134
60. Case Study 2 - Lizard Family.pdf|5|1164|2026-03-07|341
61. Kinds of Houses (continued).pdf|9|2200|2026-03-07|372
62. House Systems.pdf|6|1024|2026-03-07|283
63. Interpreting the Ascendant.pdf|1|88|2026-03-07|234
64. The Houses.pdf|8|4060|2026-03-07|330
65. House systems ver 2.pdf|8|1056|2026-03-07|586
66. House Systems ver 3.pdf|15|1112|2026-03-07|916
67. The Houses ver 2.pdf|32|5468|2026-03-07|3077
68. In the spotlight.pdf|4|420|2026-04-06|215
69. House Systems ver 4.pdf|22|696|2026-04-06|1334
7. Matsya Avatar.pdf|13|5928|2025-12-07|361
70. The Houses ver 3.pdf|20|4952|2026-04-06|1475
71. Starting interpretations.pdf|16|7824|2026-04-06|148
72. Sun.pdf|22|14592|2026-04-06|1269
73. Moon.pdf|20|13340|2026-04-17|1300
74. The Houses ver 4.pdf|22|5160|2026-04-17|1689
8. Earth.pdf|19|2708|2025-12-07|371
9. Distance, Time & Speed.pdf|9|1156|2025-12-07|948
76. Mars.pdf|9|3308|2026-05-05|885
77. Mercury.pdf|10|2788|2026-05-05|892
